2024-04-16 00:04:35,847 INFO    StreamThr :4824 [internal.py:wandb_internal():87] W&B internal server running at pid: 4824, started at: 2024-04-16 00:04:35.847718
2024-04-16 00:04:35,848 DEBUG   HandlerThread:4824 [handler.py:handle_request():144] handle_request: status
2024-04-16 00:04:35,848 INFO    WriterThread:4824 [datastore.py:open_for_write():85] open: E:\CV\Final_Test\FashioneDIFF\wandb\run-20240416_000435-7wvaeakj\run-7wvaeakj.wandb
2024-04-16 00:04:35,848 DEBUG   SenderThread:4824 [sender.py:send():336] send: header
2024-04-16 00:04:36,019 DEBUG   SenderThread:4824 [sender.py:send():336] send: run
2024-04-16 00:04:36,772 INFO    SenderThread:4824 [dir_watcher.py:__init__():219] watching files in: E:\CV\Final_Test\FashioneDIFF\wandb\run-20240416_000435-7wvaeakj\files
2024-04-16 00:04:36,772 DEBUG   HandlerThread:4824 [handler.py:handle_request():144] handle_request: check_version
2024-04-16 00:04:36,772 INFO    SenderThread:4824 [sender.py:_start_run_threads():1078] run started: 7wvaeakj with start time 1713200675.846718
2024-04-16 00:04:36,772 DEBUG   SenderThread:4824 [sender.py:send_request():363] send_request: summary_record
2024-04-16 00:04:36,772 INFO    SenderThread:4824 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2024-04-16 00:04:36,772 DEBUG   SenderThread:4824 [sender.py:send_request():363] send_request: check_version
2024-04-16 00:04:36,945 DEBUG   HandlerThread:4824 [handler.py:handle_request():144] handle_request: run_start
2024-04-16 00:04:36,961 DEBUG   HandlerThread:4824 [system_info.py:__init__():31] System info init
2024-04-16 00:04:36,961 DEBUG   HandlerThread:4824 [system_info.py:__init__():46] System info init done
2024-04-16 00:04:36,961 INFO    HandlerThread:4824 [system_monitor.py:start():183] Starting system monitor
2024-04-16 00:04:36,961 INFO    SystemMonitor:4824 [system_monitor.py:_start():147] Starting system asset monitoring threads
2024-04-16 00:04:36,961 INFO    HandlerThread:4824 [system_monitor.py:probe():204] Collecting system info
2024-04-16 00:04:36,977 INFO    SystemMonitor:4824 [interfaces.py:start():187] Started cpu monitoring
2024-04-16 00:04:36,977 INFO    SystemMonitor:4824 [interfaces.py:start():187] Started disk monitoring
2024-04-16 00:04:36,977 INFO    SystemMonitor:4824 [interfaces.py:start():187] Started gpu monitoring
2024-04-16 00:04:36,977 INFO    SystemMonitor:4824 [interfaces.py:start():187] Started memory monitoring
2024-04-16 00:04:36,992 INFO    SystemMonitor:4824 [interfaces.py:start():187] Started network monitoring
2024-04-16 00:04:36,992 DEBUG   HandlerThread:4824 [system_info.py:probe():195] Probing system
2024-04-16 00:04:36,992 DEBUG   HandlerThread:4824 [system_info.py:_probe_git():180] Probing git
2024-04-16 00:04:37,039 DEBUG   HandlerThread:4824 [system_info.py:_probe_git():188] Probing git done
2024-04-16 00:04:37,039 DEBUG   HandlerThread:4824 [system_info.py:probe():240] Probing system done
